run_index,pair_id,scenario,run_type,group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,eve_registered,n_intercepted,basis_match_rate,theoretical_eve_qber,eve_detection_correct,group_wall_time_s,timestamp
53,27,clean,sequential,,,alice-3,bob-3,10,512,done,65.08,33a17054-ce6f-48dd-a7a0-13be438fe244,512,258,0.0,101101001011111001111110000011100110100011101010011000110011000110010000101001001010001110001001010101011010110000001101000000011111110001101000101010111111011010000110110110110100111000101100011011000100000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:55:46.482564
54,27,eve,sequential,,,alice-3,bob-3,10,512,aborted,3.27,09df3c8c-0c03-4b60-9646-866b4a84f0e8,512,0,0.2641509433962264,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,512,0.5078,0.25,True,,2026-05-23T20:55:55.663073
55,28,clean,sequential,,,alice-3,bob-3,20,512,done,66.25,4a9b8b09-adbd-4f20-bd6d-d2b023d275ac,512,254,0.0,010110000000110001010111110001010100000111000000101111001101100111011011010010111111101101100100011011111111010110000000100100110000110011111111111100110011110010011010001101000001111011011101101101110101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:57:06.588977
56,28,eve,sequential,,,alice-3,bob-3,20,512,aborted,2.954,a620184e-4025-4f17-b049-33dfa19d35b4,512,0,0.2708333333333333,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,512,0.4629,0.25,True,,2026-05-23T20:57:15.742038
57,29,clean,sequential,,,alice-3,bob-3,10,1024,done,130.25,85569031-00c9-48cd-b394-8b120b8fe7ba,1024,493,0.0,11100110100101100010001101111110000100000100011110101011000001011111001011011100110001101101010001011110110001001111010010000100010010101001010101100011011111000111100110110011010111010100110110101100010111100110000100100001111101001010110000101010111111101110100101111111000000010011101011010001100101010010011110101111000101110011011100000100001101010101011100001111010001100011011101111000010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T20:59:31.467224
58,29,eve,sequential,,,alice-3,bob-3,10,1024,aborted,4.914,47af4690-b322-49ae-9d3b-ff36a1ca4f6a,1024,0,0.2621359223300971,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,1024,0.4805,0.25,True,,2026-05-23T20:59:42.677022
59,30,clean,sequential,,,alice-3,bob-3,20,1024,done,132.938,0dbf23f4-ae4c-41a0-85fb-95c602d3b8b3,1024,513,0.0,010111101101001111110001011010101010101111010100101101100011111000001110110010111111111111100000100110100010100100000111100001101011011000111100010100011010000101101110111011100110111011110001101110101110110111011100110111001101110100000101010111001111001111011001000011010010110010110011010011000010010000111010000010001011110100001011001101100100111000011101001010011010101010010011000101011110011101111001001,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,,2026-05-23T21:02:00.493962
60,30,eve,sequential,,,alice-3,bob-3,20,1024,aborted,6.533,e4db18b9-5267-4924-81ef-b1a699b84f1e,1024,0,0.20588235294117646,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,1024,0.4932,0.25,True,,2026-05-23T21:02:13.737332
,,clean,concurrent,1,clean,alice-2,bob-2,10,64,done,6.866,bed5d3e5-e656-46c2-a09a-c79d1f19e8fb,64,29,0.0,101110011001011001001111,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,24.543,2026-05-23T21:02:42.282848
,,clean,concurrent,1,clean,alice-1,bob-1,10,64,done,18.184,89694720-8297-4c04-a026-515bbc743aa4,64,28,0.0,10000100010001110110110,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,24.543,2026-05-23T21:02:42.283040
,,clean,concurrent,1,clean,alice-3,bob-3,10,64,done,22.718,776789fb-7012-46b9-84a1-16f7f4997ba0,64,34,0.0,1101101001110110001001110101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,24.543,2026-05-23T21:02:42.283175
,,eve,concurrent,2,eve,alice-3,bob-3,10,64,aborted,2.026,561448d3-e21d-47d6-9360-7d16252bbb63,64,0,0.25,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,64,0.5156,0.25,True,2.235,2026-05-23T21:02:47.604891
,,eve,concurrent,2,eve,alice-1,bob-1,10,64,done,1.87,330e5b40-6f96-4fa4-b4f9-55e5f0520b0f,64,32,0.0,00110101000100010001110100,,100.0,Key generated,0.0,eve-1,False,http://localhost:8013,True,True,64,0.5,0.25,False,2.235,2026-05-23T21:02:48.628607
,,eve,concurrent,2,eve,alice-2,bob-2,10,64,aborted,1.893,af87e0ce-2770-4960-842f-685772046f1d,64,0,0.5714285714285714,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8023,True,True,64,0.4844,0.25,True,2.235,2026-05-23T21:02:49.650906
,,clean,concurrent,3,clean,alice-1,bob-1,20,64,done,5.591,27d37e05-0d77-4503-9445-a1dae9476d58,64,29,0.0,101001000111010000011010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,16.332,2026-05-23T21:03:08.043482
,,clean,concurrent,3,clean,alice-3,bob-3,20,64,done,7.122,54e72f19-f935-4672-bc01-626537572d4a,64,29,0.0,011011001000000011101000,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,16.332,2026-05-23T21:03:08.043876
,,clean,concurrent,3,clean,alice-2,bob-2,20,64,done,14.635,7472c12b-486d-4d89-97f8-d301396334c0,64,31,0.0,1011001010111110110110000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,16.332,2026-05-23T21:03:08.044013
,,eve,concurrent,4,eve,alice-3,bob-3,20,64,aborted,2.002,d6854373-5ce9-4119-b4c7-10ae6cb513fa,64,0,0.3333333333333333,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8013,True,True,64,0.5625,0.25,True,4.187,2026-05-23T21:03:15.341984
