group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,group_wall_time_s,timestamp
15,cross_2,alice-2,bob-1,20,128,done,30.966,6e9efb02-c115-4b97-911c-c399332b2127,128,59,0.0,100110000011010110001101011101001000100010011010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,32.768,2026-05-22T19:45:05.120362
16,same_index,alice-2,bob-2,10,200,done,26.023,dddc974e-b910-4343-b03f-fa0dd1b664cb,200,107,0.0,10101010001101101001110010100111010111111010100001010011101000111111001110001111000111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,71.171,2026-05-22T19:46:20.293068
16,same_index,alice-3,bob-3,10,200,done,48.385,6747451d-0d3e-43a4-be16-4d10ef27e3da,200,105,0.0,111111100101110001011101000000101101000001010011110010111111101110101100111110110000,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,71.171,2026-05-22T19:46:20.293102
16,same_index,alice-1,bob-1,10,200,done,70.527,333f8990-ace7-4742-89e7-9c6ed5efbcbf,200,105,0.0,111101111100001010110110111101010111100111100011001001100010110101111101000110111111,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,71.171,2026-05-22T19:46:20.293117
17,cross_1,alice-1,bob-2,10,200,done,27.568,352fbb93-0c30-4cee-8929-156bbed3e615,200,112,0.0,000111111010100101000110001001001100011011000100011111000100011100100100110000000111001100,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,71.306,2026-05-22T19:47:35.600921
17,cross_1,alice-3,bob-1,10,200,done,49.553,84711ee3-6df3-4d8f-b34c-d50554a52675,200,98,0.0,1111101111001011000011100101000011111010011101010011111110101111110000000101100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,71.306,2026-05-22T19:47:35.600990
17,cross_1,alice-2,bob-3,10,200,done,71.21,364b394f-537f-4dfb-9923-43f934e94b03,200,103,0.0,00110111110010101110100000110010000110110101100001101011101000101101100000111100100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,71.306,2026-05-22T19:47:35.601022
18,cross_2,alice-3,bob-2,10,200,done,26.538,be474d73-08dc-4c29-95df-4215d96b9597,200,108,0.0,110100110101001110010001010001100010011000101001110001001001100010110001100101000100111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,71.199,2026-05-22T19:48:50.801695
18,cross_2,alice-1,bob-3,10,200,done,48.275,aa603ccd-6e12-484c-9f1c-08fe22632bae,200,103,0.0,00010010000000111100001000011010000011001111110111100000101111000001110101110100000,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,71.199,2026-05-22T19:48:50.801727
18,cross_2,alice-2,bob-1,10,200,done,69.707,8039012c-f6f5-4868-8725-067477e20bbc,200,116,0.0,110110101011001010111001100110000010011101010100001001011001101001011100001010010111000011010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,71.199,2026-05-22T19:48:50.801741
19,same_index,alice-1,bob-1,20,200,done,26.959,807701e9-a7ec-4f41-9175-a025b59041c2,200,102,0.0,0010110110101110110100110010101011101010010101000111011000100110001110100011100100,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,65.11,2026-05-22T19:49:59.913150
19,same_index,alice-2,bob-2,20,200,done,46.406,2a1ee20b-6f20-422c-89a7-861f777c7966,200,92,0.0,00000010000011001001111000000111001111010111111001101110110011011110010101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,65.11,2026-05-22T19:49:59.913184
19,same_index,alice-3,bob-3,20,200,done,64.414,fec5eea3-2e36-4661-909b-cd2b2d43c595,200,118,0.0,01111001101001111001110000000100001000111111011000110111101101010100101101110111000100101101111,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,65.11,2026-05-22T19:49:59.913196
20,cross_1,alice-1,bob-2,20,200,done,26.074,ad9c682f-47d7-455d-b6d5-7365195f8370,200,88,0.0,01000000101001000011110111101001101010101010011011100000001100000110010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,63.045,2026-05-22T19:51:06.960046
20,cross_1,alice-2,bob-3,20,200,done,44.116,fe01cb62-3042-4328-9ba9-c035732a81de,200,99,0.0,10111111011001101011110101001101010111110110010110001100001011111101001001110101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,63.045,2026-05-22T19:51:06.960105
20,cross_1,alice-3,bob-1,20,200,done,62.614,50646de0-707d-4e65-be1b-f497fdc8e9b1,200,108,0.0,100011101000010100001011101011011011001101101001100100000010100111000001100110001001110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,63.045,2026-05-22T19:51:06.960131
21,cross_2,alice-3,bob-2,20,200,done,25.933,df837b0d-2495-41a8-ae68-371704dcb040,200,99,0.0,11000100010101111101000100100001001110110000010100011111100010110100101001000101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,50.802,2026-05-22T19:52:01.764090
21,cross_2,alice-1,bob-3,20,200,done,29.262,4b35cecc-948f-4d38-9028-3ac38147a34b,200,111,0.0,10111101001111011010000111000111101010001001110000001000100011100100011101011101101101011,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,50.802,2026-05-22T19:52:01.764110
21,cross_2,alice-2,bob-1,20,200,done,48.815,f9bcc656-4cd6-4866-b3ee-bd94e55f9446,200,108,0.0,111101010101101000111111000101000110010111101011000000001010010010111011110111001111101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,50.802,2026-05-22T19:52:01.764123
